id,gender,score
,,
,,
CLCM,Female,0.0
JYNK,Female,2.0
YNBT,Female,4.0
BZBZ,Female,4.0
0717,Female,3.0
FAUZ,Female,2.0
GG99,Male,5.0
1145,Male,1.0
LHNB,Male,6.0
SDLL,Female,1.0
HYZY,Male,5.0
,,
HWSY,Female,2.0
MLAW,Male,2.0
FZFZ,Male,0.0
XHSB,Male,3.0
BABY,Female,2.0
HZKM,Female,2.0
XXXX,Female,0.0
MENG,Male,4.0
DAUS,Male,1.0
PTTR,Male,3.0
XOXO,Male,2.0
CTCT,Female,3.0
AZMT,Male,1.0
UCBM,Male,3.0
HHMM,Male,3.0
KWAN,Male,3.0
KBBA,Male,1.0
SOAS,Female,1.0
RZWM,Female,5.0
ZCBT,Male,1.0
BBBB,Male,7.0
RLLY,Female,6.0
HBDJ,Female,7.0
LJOB,Female,3.0
MMMM,Female,1.0
