,gender,score
0,female,12
1,female,12
2,female,11
3,female,14
4,female,8
5,female,14
6,female,8
7,female,12
8,female,12
9,female,12
10,female,12
11,female,12
12,female,14
13,female,12
14,female,13
15,female,11
16,female,9
17,female,11
18,female,13
19,female,10
20,female,15
21,female,13
22,female,14
23,female,14
24,male,14
25,male,15
26,male,12
27,male,12
28,male,12
29,male,13
30,male,14
31,male,14
32,male,12
33,male,14
34,male,13
35,male,14
36,male,14
37,male,11
38,male,14
39,male,10
40,male,13
41,male,14
42,male,11
43,male,14
44,male,15
45,male,12
46,male,14
47,male,12
48,male,14
